Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
((xX+(rX/rA))/exp((xX)^2)),0.9228138633276675,1.0758404540461077,4,5,9
(exp((xX)^2)/(xX+(rX/rA))),0.9228138633276676,1.0758404540461077,4,5,9
((log(xX)/rA)*sqrt((rA+rX))),0.9228252467454567,1.088844865228708,4,5,9
(sqrt(log(rX))/(rA*(rX*xX))),0.9229054829166028,1.0720534655414677,4,5,9
((rX/rA)+((xX)^2/exp(rX))),0.9229513118176498,1.0763662196488317,4,5,9
((rX/rA)+(xX*(xX)^2)),0.9229513118176499,1.0763662196488317,4,4,8
(sqrt(exp(xX))/(xX+(rX/rA))),0.9229513118176499,1.0756855330502773,4,5,9
((exp(-xX))^2+(xX-(rX/rA))),0.9229513118176499,1.0756408580505632,4,6,9
((xX+(rX/rA))/sqrt(exp(xX))),0.9229513118176499,1.0756855330502773,4,5,9
((xX)^2+(log(xX)/exp(rA))),0.9229840038271244,1.078944197229565,3,5,8
(log(xX)/(rA+(rX*xX))),0.9230013999592068,1.0777697148698309,4,4,8
(exp((rA-rX))+exp(-(rB/rA))),0.9230088533055925,1.0378197623621692,4,6,9
(rB*((rA-rB)+(rA-rX))),0.9230143490032199,1.0350898395877466,5,4,9
(((rX-rA)/xX)-(rA+rX)),0.923193348335536,1.0730691449072012,5,4,9
(log(xX)/(exp(rA)+exp(-rB))),0.9232017238518254,1.0514677663459266,3,6,8
((rX/exp(rA))*exp(sqrt(rB))),0.9232054793850997,1.0397361316798517,3,5,8
((exp(rB)/(rA*xX))/sqrt(rB)),0.9232515977080823,1.0280018563421978,4,5,9
(((rA*xX)*sqrt(rB))/exp(rB)),0.9232515977080823,1.0280018563421978,4,5,9
((log(xX))^2-(exp(-rA)/(xX)^2)),0.923270436173019,1.07934568229943,3,7,9
((xX+(xX)^2)-(exp(-rA)/xX)),0.923270953872191,1.074686746638354,4,6,9
((log(xX))^2/(exp(-rX)-exp(rA))),0.9232867085711596,1.0771074275992023,3,7,9
(sqrt(exp(-rA))/(xX+sqrt(xX))),0.9233013577971846,1.074968064204681,3,6,8
((exp(-rA)/(xX)^2)/exp(sqrt(rA))),0.9233013577971847,1.0737251673210388,3,7,9
((log(xX))^2*(xX/sqrt(rA))),0.9233121190440731,1.074469552421466,3,5,8
((rA-rX)/(exp(rA)+exp(-rX))),0.9233243236896533,1.0763995504661727,4,6,9
(sqrt(exp(rX))*(log(xX)/exp(rA))),0.9233438508039176,1.0874471891632846,3,6,9
(sqrt((rA/rB))/exp((rX/rA))),0.9233626407789846,1.0443613703538746,4,5,9
(log((rB+rX))/(xX*(rA)^2)),0.9233954791542391,1.0450702653891661,4,5,9
(sqrt(log(rX))/(exp(rA)+exp(xX))),0.9234042399550059,1.097123674100343,3,6,9
((rX)^-1+(log(xX)/rA)),0.9234069515228749,1.0916411946809026,3,5,8
((rX/(rA*xX))/exp(sqrt(rX))),0.9234069515228749,1.0897482875116415,4,5,9
