Substance,Label,n,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,fold_2
NaNdTiO4,1.0,1.0,1.2015,0.605,1.4,2.0,4.0,-2.0,0.1348765,0.1233637,0.304575,5.33203835,6.82812,13.618054,3.5,4.0,6.0,train
Eu2ZrO4,1.0,1.0,1.3,0.72,1.4,2.0,4.0,-2.0,0.189935,0.1248887,0.304575,5.670385,6.6339,13.618054,9.0,4.0,6.0,train
Ca2GeO4,1.0,1.0,1.18,0.53,1.4,2.0,4.0,-2.0,0.1154119,0.1895892,0.304575,6.1131552,7.899435,13.618054,2.0,4.0,6.0,train
Ba2HfO4,1.0,1.0,1.47,0.71,1.4,2.0,4.0,-2.0,0.1586786,0.229987,0.304575,5.211664,6.82507,13.618054,2.0,4.0,6.0,train
Eu2VO4,1.0,1.0,1.3,0.58,1.4,2.0,4.0,-2.0,0.189935,0.1273344,0.304575,5.670385,6.746187,13.618054,9.0,5.0,6.0,train
Rb2FeF4,1.0,1.0,1.63,0.78,1.33,1.0,2.0,-1.0,0.104686,0.1392532,0.344443,4.177128,7.9024678,17.42282,1.0,8.0,7.0,train
SrLaVO4,1.0,1.0,1.263,0.64,1.4,2.5,3.0,-2.0,0.1408251,0.1273344,0.304575,5.6358836,6.746187,13.618054,2.5,5.0,6.0,train
Cs2CaF4,1.0,1.0,1.78,1.0,1.33,1.0,2.0,-1.0,0.1542125,0.1154119,0.344443,3.893905548,6.1131552,17.42282,1.0,2.0,7.0,train
NaSmTiO4,1.0,1.0,1.186,0.605,1.4,2.0,4.0,-2.0,0.139341,0.1233637,0.304575,5.39139335,6.82812,13.618054,4.5,4.0,6.0,train
NaTmTiO4,1.0,1.0,1.146,0.605,1.4,2.0,4.0,-2.0,0.1549692,0.1233637,0.304575,5.66169335,6.82812,13.618054,8.0,4.0,6.0,train
SrNdNiO4,1.0,1.0,1.2365,0.6,1.4,2.5,3.0,-2.0,0.1475236,0.1472068,0.304575,5.6099336,7.639877,13.618054,4.0,10.0,6.0,train
EuTbCuO4,1.0,1.0,1.1075,0.73,1.4,3.0,2.0,-2.0,0.194399,0.1511716,0.304575,5.7670925,7.72638,13.618054,10.0,11.0,6.0,train
Eu2TiO4,1.0,1.0,1.3,0.605,1.4,2.0,4.0,-2.0,0.189935,0.1233637,0.304575,5.670385,6.82812,13.618054,9.0,4.0,6.0,train
SrEuAlO4,1.0,1.0,1.215,0.535,1.4,2.5,3.0,-2.0,0.1542216,0.150078,0.304575,5.6826261,5.9857684,13.618054,5.5,3.0,6.0,train
EuPrAlO4,1.0,1.0,1.2395,0.535,1.4,2.5,3.0,-2.0,0.1810075,0.150078,0.304575,5.5716925,5.9857684,13.618054,7.0,3.0,6.0,train
Rb2MnCl4,1.0,1.0,1.63,0.83,1.81,1.0,2.0,-1.0,0.104686,0.1352844,0.263803,4.177128,7.434018,12.96763,1.0,7.0,7.0,train
K2MgCl4,1.0,1.0,1.55,0.72,1.81,1.0,2.0,-1.0,0.0981896,0.121644,0.263803,4.34066354,7.646235,12.96763,1.0,2.0,7.0,train
Ba2PbO4,1.0,1.0,1.47,0.775,1.4,2.0,4.0,-2.0,0.1586786,0.177911,0.304575,5.211664,7.4166796,13.618054,2.0,4.0,6.0,train
Sr2HfO4,1.0,1.0,1.31,0.71,1.4,2.0,4.0,-2.0,0.1185082,0.229987,0.304575,5.6948672,6.82507,13.618054,2.0,4.0,6.0,train
SrLaScO4,1.0,1.0,1.263,0.745,1.4,2.5,3.0,-2.0,0.1408251,0.1193833,0.304575,5.6358836,6.56149,13.618054,2.5,3.0,6.0,train
K2FeF4,1.0,1.0,1.55,0.78,1.33,1.0,2.0,-1.0,0.0981896,0.1392532,0.344443,4.34066354,7.9024678,17.42282,1.0,8.0,7.0,train
