Substance,f.e,n,rA,rB,rX,xX,fold_3
Cs2CdI4,0.2235674990000014,1.0,1.78,0.95,2.2,0.2195175999999999,train
Li2ZnI4,2.426775114999998,1.0,0.92,0.74,2.2,0.2195175999999999,train
Ce2CdS4,2.850459932500004,1.0,1.196,0.95,1.84,0.23596,train
Ca2SnS4,2.60059697,1.0,1.18,0.69,1.84,0.23596,train
Cd2GeO4,0.9497311933333314,1.0,1.1,0.53,1.4,0.304575,train
Cs2BaBr4,0.6090233850000004,1.0,1.78,1.35,1.96,0.2412578,train
Cs2BaCl4,0.5817588800000024,1.0,1.78,1.35,1.81,0.263803,train
Rb2MnI4,0.2465807999999985,1.0,1.63,0.83,2.2,0.2195175999999999,train
Ho2YbS4,3.918481885,1.0,1.072,1.02,1.84,0.23596,train
Rb2MoSe4,-0.0084185199999957,1.0,1.63,0.59,1.98,0.2240328,train
Mn2SiS4,4.004382925000002,1.0,0.96,0.4,1.84,0.23596,train
Tm2MnS4,0.917461383750002,1.0,1.052,0.83,1.84,0.23596,train
Yb2MnS4,0.2928272812500019,1.0,1.042,0.83,1.84,0.23596,train
Sc2MnSe4,3.4878566975000016,1.0,0.87,0.83,1.98,0.2240328,train
Rb2MoS4,-0.5928716000000023,1.0,1.63,0.59,1.84,0.23596,train
Ho2MgSe4,2.2030966624999966,1.0,1.072,0.72,1.98,0.2240328,train
Fe2SiO4,2.349869125000005,1.0,0.92,0.4,1.4,0.304575,train
Tb2CdS4,3.706403752499997,1.0,1.095,0.95,1.84,0.23596,train
Yb2CdSe4,2.93298774375,1.0,1.042,0.95,1.98,0.2240328,train
La2CdTe4,2.793374741249999,1.0,1.216,0.95,2.21,0.2056992,train
Lu2CdS4,4.470240549999994,1.0,1.032,0.95,1.84,0.23596,train
Sc2MnS4,3.3935732274999992,1.0,0.87,0.83,1.84,0.23596,train
Mn2VO4,0.6056818899999996,1.0,0.96,0.58,1.4,0.304575,train
Lu2MgSe4,3.1812012424999967,1.0,1.032,0.72,1.98,0.2240328,train
Mn2NiO4,0.2672748600000041,1.0,0.96,0.48,1.4,0.304575,train
Ni2SnO4,3.8394245850000033,1.0,0.69,0.69,1.4,0.304575,train
Ni2SiO4,2.870016310000004,1.0,0.69,0.4,1.4,0.304575,train
Nd2ZnS4,1.753963914285717,1.0,1.163,0.74,1.84,0.23596,train
Sc2FeS4,3.496273437500003,1.0,0.87,0.78,1.84,0.23596,train
Fe2SiS4,5.136893364999995,1.0,0.92,0.4,1.84,0.23596,train
Fe2SnS4,5.51785596,1.0,0.92,0.69,1.84,0.23596,train
Yb2FeS4,0.7072329574999969,1.0,1.14,0.645,1.84,0.23596,train
Gd2MnS4,1.7009063275000005,1.0,1.107,0.83,1.84,0.23596,train
Gd2ZnS4,2.4059676217857104,1.0,1.107,0.74,1.84,0.23596,train
Mg2GeO4,2.241333833333332,1.0,0.89,0.53,1.4,0.304575,train
La2SrSe4,4.0260333025,1.0,1.216,1.18,1.98,0.2240328,train
Lu2MgS4,2.975173099999997,1.0,1.032,0.72,1.84,0.23596,train
K2PbCl4,0.6656204650000017,1.0,1.55,1.19,1.81,0.263803,train
K2EuCl4,0.6283204999999974,1.0,1.55,1.17,1.81,0.263803,train
K2CuCl4,-0.1151828200000011,1.0,1.55,0.73,1.81,0.263803,train
Cd2SnO4,1.8163388599999983,1.0,1.1,0.69,1.4,0.304575,train
K2SrCl4,0.8861735500000023,1.0,1.55,1.18,1.81,0.263803,train
Ce2EuSe4,3.7685942312500025,1.0,1.196,1.17,1.98,0.2240328,train
