Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
(((rX-rA)/rA)+sqrt(exp(-rB))),0.8676470588235294,0.7688815789473684,4,6,9
(exp(sqrt(rB))-exp((rX/rA))),0.8676470588235294,0.7688815789473684,3,5,8
((exp(-rA)/(xX)^2)/exp(sqrt(rB))),0.8676470588235294,0.7688815789473684,3,7,9
((exp(rA))^-1-((rX/rA))^2),0.8676470588235294,0.785701754385965,3,6,9
((rX*exp(rA))/((rA-rX))^2),0.8676470588235294,0.7688815789473684,4,5,9
(((rA+rB)/(rB+rX)))^2,0.8676470588235294,0.785701754385965,4,4,8
((rX/rB)*log((rA/rX))),0.8676470588235294,0.785701754385965,4,4,8
((exp(rX)/(rA+rX))/sqrt(rA)),0.8676470588235294,0.785701754385965,4,5,9
((rA*(rA+rB))-(rX)^2),0.8676470588235294,0.785701754385965,4,4,8
log(((rA+rB)/(rB+rX))),0.8676470588235294,0.785701754385965,4,4,8
(((rA/rX))^2*sqrt((rB/rX))),0.8676470588235294,0.785701754385965,4,5,9
