Substance f.e rA rB rX xX
Nd2ZnS4 1.753963914285717 1.163 0.74 1.84 0.23596
Nd2YbS4 3.252855670000004 1.163 1.02 1.84 0.23596
Mg2GeS4 4.257243096666668 0.89 0.53 1.84 0.23596
Fe2SiS4 5.136893364999995 0.92 0.4 1.84 0.23596
Fe2SnS4 5.51785596 0.92 0.69 1.84 0.23596
Yb2FeS4 0.7072329574999969 1.14 0.645 1.84 0.23596
Gd2MnS4 1.7009063275000005 1.107 0.83 1.84 0.23596
Mg2GeO4 2.241333833333332 0.89 0.53 1.4 0.304575
La2SrSe4 4.0260333025 1.216 1.18 1.98 0.2240328
Lu2MgS4 2.975173099999997 1.032 0.72 1.84 0.23596
K2PbCl4 0.6656204650000017 1.55 1.19 1.81 0.263803
K2EuCl4 0.6283204999999974 1.55 1.17 1.81 0.263803
K2CuCl4 -0.1151828200000011 1.55 0.73 1.81 0.263803
K2SrCl4 0.8861735500000023 1.55 1.18 1.81 0.263803
Ce2PbS4 4.518610092500001 1.196 1.19 1.84 0.23596
Ce2EuSe4 3.7685942312500025 1.196 1.17 1.98 0.2240328
Ho2CdSe4 3.296954842499999 1.072 0.95 1.98 0.2240328
Rb2CrO4 -1.448031775000004 1.63 0.44 1.4 0.304575
Li2ZnCl4 1.7028799250000013 0.92 0.74 1.81 0.263803
Li2VCl4 1.723694329999999 0.92 0.79 1.81 0.263803
Li2MgCl4 1.6533578099999993 0.92 0.72 1.81 0.263803
K2ZnCl4 0.130322774999998 1.55 0.74 1.81 0.263803
Y2CdSe4 3.779203455 1.075 0.95 1.98 0.2240328
Tm2CdSe4 3.311267862500002 1.052 0.95 1.98 0.2240328
Yb2CdS4 3.3983081162500017 1.042 0.95 1.84 0.23596
Pr2CdSe4 2.902054794999997 1.179 0.95 1.98 0.2240328
Pr2CdS4 2.9188200025000004 1.179 0.95 1.84 0.23596
Cs2ZnCl4 -0.1595053149999987 1.78 0.74 1.81 0.263803
Nd2CdS4 2.6789197950000005 1.163 0.95 1.84 0.23596
Cs2MgCl4 -0.3758710899999986 1.78 0.72 1.81 0.263803
Cs2CuCl4 -0.2302380900000002 1.78 0.73 1.81 0.263803
Tl2CoCl4 0.2130553899999991 1.59 0.745 1.81 0.263803
Li2CoCl4 1.7074215200000005 0.92 0.745 1.81 0.263803
K2CoCl4 0.3720242900000006 1.55 0.745 1.81 0.263803
